id_restroom,STORE_NAME,STORE_LOCATION,city,Latitude,Longitude,Place_type
1632,100% Playground,"Glenwood Road, East 100 & East 101 streets",,40.7875,-73.9448,restroom
1633,174th Street Playground,"East 174 Street, Stratford Avenue, Bronx River Avenue",,40.8339,-73.8766,restroom
1634,227 Street Playground,Bronx Boulevard between East 226 and East 228 streets,,40.8886,-73.855,restroom
1635,Abigail Playground,"East 156 Street, Tinton Avenue",,40.8179,-73.905,restroom
1636,Agnes Haywood Playground,"East 215 Street, Barnes Avenue, East 216 Street",,40.8806,-73.8611,restroom
1637,Albemarle Park,Albermarle Road & Dahill Road,,40.645,-73.9809,restroom
1638,Alexander Hamilton Playground,"Hamilton Place, West 140 to West 141 streets",,40.8206,-73.9445,restroom
1639,Alice Kornegay Triangle,"Lexington Avenue, East 128 & East 129 streets",,38.8915,-94.5202,restroom
1640,Allerton Playground,"Anrow Avenue, Bouck Avenue, Throop Avenue, Streetedman Place, Allerton Avenue",,40.8631,-73.8616,restroom
1641,Alley Pond Park,"Entrance off Grand Central Parkway, includes athletic fields and picnic areas",,40.7186,-73.7957,restroom
1642,Alley Pond Park (Alley Athletic Field),"Grand Central Parkway, Winchester Boulevard, &Union Turnpike",,40.7389,-73.7338,restroom
1643,Alley Pond Park (Alley Pond Spring),"Springfield Boulevard, 73rd Avenue, 76th Avenue to tree line & natural area",,40.7495,-73.7113,restroom
1644,Alley Pond Park (Horatio Playground),Horatio Parkway and 50 Avenue,,40.7581,-73.7527,restroom
1645,Alstyne Playground,Alystine Avenue & 102 Street,,33.4215,-96.5772,restroom
1646,Ampere Playground (PS 64),101 Avenue & 82 Street,,53.5412,-113.454,restroom
1647,Annunciation Park,"Convent and Amsterdam Av, W 135 St",,40.8134,-73.9562,restroom
1648,Arcilla Playground,"Teller Avenue, Park Avenue, Clay Avenue, East 64 Street",,40.8299,-73.9131,restroom
1649,Arrochar Playground,"Sand Lane, Major Avenue, McFarland Avenue",,40.5978,-74.0718,restroom
1650,Arrow Community Garden,"35th Street, between 35th and 36th Avenue",,33.7382,-112.136,restroom
1651,Audubon Playground,West 170 Street & Audubon Avenue,,40.8417,-73.9375,restroom
1652,Bailey Playground,"Bailey Avenue, Weast 233-West 238 streets",,40.8867,-73.9035,restroom
1653,Baisley Pond Park,"Rockaway Boulevard, 125th Avenue, & Baisley Boulevard South",,40.811,-73.9531,restroom
1654,Baisley Pond Park,"150th Street, Rockaway Boulevard, Baisley Boulevard South, & North Conduit Avenue",,40.6724,-73.7858,restroom
1655,Baisley Pond Park (157th Street Playground),157 Street & 116 Avenue,,41.6042,-87.9012,restroom
1656,Bartlett Playground,Bartlett Street & Throop Avenue,,40.7017,-73.9457,restroom
1657,Bay Terrace Playground (PS 169),23 Avenue & 212 Street,,53.454,-113.5171,restroom
1658,Bayside Playground (JHS 180),Beach Channel Drive & Seaside Avenue,,40.5855,-73.8247,restroom
1659,Bayview Playground,Seaview Avenue & East 99 Street,,40.6348,-73.888,restroom
1660,Bedford Playground,"Bedford Avenue & South 9 Street, Division Avenue",,40.6538,-73.9562,restroom
1661,Behagen Playground,"Tinton Avenue, East 165 Street, Union Avenue, East 166 Street",,40.826,-73.9005,restroom
1662,Bellaire Playground,"89 Avenue, 207 & 208 streets",,43.6696,-79.3938,restroom
1663,Belmont Playground,"Crotona Avenue, East 181 Street",,40.8489,-73.8882,restroom
1664,Bendheim Playground,100th Street and Fifth Ave,,40.7744,-73.9656,restroom
1665,Bennett Park,"West 185 Street, Ft Washington Avenue",,40.8534,-73.9374,restroom
1666,Benson Playground,Bath Avenue between Bay 22 & Bay 23 streets,,40.6026,-74.0015,restroom
1667,Bensonhurst Park,"Gravesend Bay, 21 & Cropsey avenues, Bay Parkway",,40.6077,-74.017,restroom
1668,Betsy Head Playground,"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",,42.3684,-83.3527,restroom
