id_restroom,Name,Location,city,Latitude,Longitude
1632,100% Playground,"Glenwood Road, East 100 & East 101 streets",,40.7875,-73.9448
1633,174th Street Playground,"East 174 Street, Stratford Avenue, Bronx River Avenue",,40.8339,-73.8766
1634,227 Street Playground,Bronx Boulevard between East 226 and East 228 streets,,40.8886,-73.855
1635,Abigail Playground,"East 156 Street, Tinton Avenue",,40.8179,-73.905
1636,Agnes Haywood Playground,"East 215 Street, Barnes Avenue, East 216 Street",,40.8806,-73.8611
1637,Albemarle Park,Albermarle Road & Dahill Road,,40.645,-73.9809
1638,Alexander Hamilton Playground,"Hamilton Place, West 140 to West 141 streets",,40.8206,-73.9445
1639,Alice Kornegay Triangle,"Lexington Avenue, East 128 & East 129 streets",,38.8915,-94.5202
1640,Allerton Playground,"Anrow Avenue, Bouck Avenue, Throop Avenue, Streetedman Place, Allerton Avenue",,40.8631,-73.8616
1641,Alley Pond Park,"Entrance off Grand Central Parkway, includes athletic fields and picnic areas",,40.7186,-73.7957
1642,Alley Pond Park (Alley Athletic Field),"Grand Central Parkway, Winchester Boulevard, &Union Turnpike",,40.7389,-73.7338
1643,Alley Pond Park (Alley Pond Spring),"Springfield Boulevard, 73rd Avenue, 76th Avenue to tree line & natural area",,40.7495,-73.7113
1644,Alley Pond Park (Horatio Playground),Horatio Parkway and 50 Avenue,,40.7581,-73.7527
1645,Alstyne Playground,Alystine Avenue & 102 Street,,33.4215,-96.5772
1646,Ampere Playground (PS 64),101 Avenue & 82 Street,,53.5412,-113.454
1647,Annunciation Park,"Convent and Amsterdam Av, W 135 St",,40.8134,-73.9562
1648,Arcilla Playground,"Teller Avenue, Park Avenue, Clay Avenue, East 64 Street",,40.8299,-73.9131
1649,Arrochar Playground,"Sand Lane, Major Avenue, McFarland Avenue",,40.5978,-74.0718
1650,Arrow Community Garden,"35th Street, between 35th and 36th Avenue",,33.7382,-112.136
1651,Audubon Playground,West 170 Street & Audubon Avenue,,40.8417,-73.9375
1652,Bailey Playground,"Bailey Avenue, Weast 233-West 238 streets",,40.8867,-73.9035
1653,Baisley Pond Park,"Rockaway Boulevard, 125th Avenue, & Baisley Boulevard South",,40.811,-73.9531
1654,Baisley Pond Park,"150th Street, Rockaway Boulevard, Baisley Boulevard South, & North Conduit Avenue",,40.6724,-73.7858
1655,Baisley Pond Park (157th Street Playground),157 Street & 116 Avenue,,41.6042,-87.9012
1656,Bartlett Playground,Bartlett Street & Throop Avenue,,40.7017,-73.9457
1657,Bay Terrace Playground (PS 169),23 Avenue & 212 Street,,53.454,-113.5171
1658,Bayside Playground (JHS 180),Beach Channel Drive & Seaside Avenue,,40.5855,-73.8247
1659,Bayview Playground,Seaview Avenue & East 99 Street,,40.6348,-73.888
1660,Bedford Playground,"Bedford Avenue & South 9 Street, Division Avenue",,40.6538,-73.9562
1661,Behagen Playground,"Tinton Avenue, East 165 Street, Union Avenue, East 166 Street",,40.826,-73.9005
1662,Bellaire Playground,"89 Avenue, 207 & 208 streets",,43.6696,-79.3938
1663,Belmont Playground,"Crotona Avenue, East 181 Street",,40.8489,-73.8882
1664,Bendheim Playground,100th Street and Fifth Ave,,40.7744,-73.9656
1665,Bennett Park,"West 185 Street, Ft Washington Avenue",,40.8534,-73.9374
1666,Benson Playground,Bath Avenue between Bay 22 & Bay 23 streets,,40.6026,-74.0015
1667,Bensonhurst Park,"Gravesend Bay, 21 & Cropsey avenues, Bay Parkway",,40.6077,-74.017
1668,Betsy Head Playground,"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",,42.3684,-83.3527
1669,Betsy Head Playground (Administration Building),"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",,42.3684,-83.3527
1670,Big Bush Park,"61 Street, north and south of Brooklyn-Queens Expressway",,40.6782,-73.9442
1671,Bildersee Playground,Flatlands Avenue between East 81 & East 82 streets,,38.9741,-94.4527
1672,Bill Brown Memorial Playground,"Bedford Avenue, Avenue X to Avenue Y, E 24 Street",,40.5933,-73.9454
1673,Bleecker Playground,Hudson & West 11 streets,,40.7358,-74.006
1674,Blood Root Valley (Greenbelt Nature Center),"Rockland, Manor and Brielle avenues, Forest Hill Road",,45.5484,-75.2916
1675,Blood Root Valley (Park House),"Rockland, Manor and Brielle avenues, Forest Hill Road",,45.5484,-75.2916
1676,Bloomingdale Park,"Richmond Pkwy, Bloomingdale Rd., Lenevar Ave",,40.5351,-74.208
1677,Blue Heron Park Preserve (Nature Center),Poillon Avenue,,40.5303,-74.1765
1678,Bowne Playground,Union Street and Sanford Avenue,,40.7594,-73.8187
1679,Brevoort Playground,Ralph Avenue & Chauncy Street,,40.6812,-73.9224
1680,Broadway Malls,"Broadway, Columbus Circle to West 110 Street",,40.7678,-73.9815
1681,Bronx Park (Ben Abrams Playground),Lydig Avenue & Bronx Park East,,40.8543,-73.8694
1682,Bronx Park (Brady Playground),Bronx Park East between Bronxdale Avenue and Unionport Road,,40.849,-73.8684
1683,Bronx Park (French Charley's Playground),East 204 Street & W/S Bronx Park,,40.874,-73.8834
1684,Bronx Park (Olinville Playground),East 219 Street & Bronx River Parkway,,40.9477,-73.8345
1685,Bronx Park (Ranaqua),"Southern Boulevard, Webster, Burke avenues, Bronx Park East, 180 Street",,40.8419,-73.8735
1686,Bronx Park (River Park Playground),"East 180th Street, Boston Road",,40.8427,-73.8782
1687,Bronx Park (Rosewood Playground),Bronx River Parkway & Rosewood Street,,40.9477,-73.8345
1688,Bronx Park (Waring Playground),Bronx Park East between Waring Avenure and Thwaites Place,,40.849,-73.8684
1689,Bronx River Parkway (Parque de los Ninos),"Bronx River Parkway, Bronx Park, Westchester/NYC City Line.",,40.8722,-73.8718
1690,Brookville Park,"Conduit Avenue, Brookville Boulevard, 144th Avenue, 233rd Street",,40.8918,-73.8523
1691,Brower Park,"Brooklyn, St. Mark's, Kingston avenues, Park Place",,26.2411,50.5805
1692,Brownsville Playground,Linden Boulevard & Hegeman Avenue,,40.6573,-73.9003
1693,Bushwick Playground & Pool,"Flushing Avenue, Bushwick Avenue & Humboldt Street",,40.7162,-73.943
1694,Bushwick Playground & Pool,Flushing & Bushwick Avenue between Garden & Beaver,,40.7019,-73.937
1695,Cabbell Park/Cambria Playground,121 Avenue & 220 Street,,41.4985,-100.3099
1696,Cadman Plaza & Brooklyn War Memorial,"Tillary, Cadman Plaza West, Cadman Plaza East, Prospect streets",,40.6962,-73.9911
1697,Cadman Plaza & Brooklyn War Memorial,"Tillary, Cadman Plaza West, Cadman Plaza East, Prospect streets",,40.6962,-73.9911
1698,Campiz Playground,Hope Street & Metropolitan Avenue,,40.7123,-73.8914
1699,Canarsie Park,"Paerdegat Avenue, Seaview Avenue, East 93rd Street, Skidmore Avenue",,40.6309,-73.8908
1700,Capt. Rivera Playground,"East 156 Street, Forest Avenue",,40.8185,-73.9078
1701,Captain Mario Fajardo Park,Kissena Boulevard & Booth Memorial Avenue,,40.743,-73.8143
1702,Carl Schurz Park,East 84 Street & East End Avenue,,40.7736,-73.9457
1703,Carmansville Playground,"Amsterdam Avenue, West 151 to West 152 streets",,40.829,-73.9448
1704,Carver Playground,Ralph Avenue & Sumpter Street,,40.6798,-73.9221
1705,Caserta Playground,"St. Raymond Avenue, Puroy Street",,40.8377,-73.8535
