Name,Location,city,latitude,longitude,,1313
Hilton Garden Inn Albany/SUNY Area,1389 Washington Ave,Albany,42.6875,-73.8164,,Hilton Garden Inn Albany/SUNY Area
Courtyard by Marriott Albany Thruway,1455 Washington Avenue,Albany,42.6897,-73.8202,,Courtyard by Marriott Albany Thruway
Radisson Hotel Albany,205 Wolf Rd,Albany,42.7241,-73.7982,,Radisson Hotel Albany
Hilton Garden Inn Albany Medical Center,62 New Scotland Ave,Albany,42.6516,-73.7764,,Hilton Garden Inn Albany Medical Center
CrestHill Suites SUNY University Albany,1415 Washington Avenue,Albany,42.6887,-73.8185,,CrestHill Suites SUNY University Albany
The Desmond Hotel Albany,660 Albany Shaker Rd,Albany,42.7287,-73.7981,,The Desmond Hotel Albany
Ramada Plaza Albany,3 Watervliet Avenue Ext,Albany,42.6803,-73.7844,,Ramada Plaza Albany
Hampton Inn & Suites Albany-Downtown,25 Chapel St,Albany,42.6533,-73.7514,,Hampton Inn & Suites Albany-Downtown
Albany Marriott,189 Wolf Rd,Albany,42.7211,-73.8004,,Albany Marriott
Best Western Sovereign Hotel - Albany,1228 Western Ave,Albany,42.6781,-73.8282,,Best Western Sovereign Hotel - Albany
Express Inn & Suites,16 Wolf Rd,Albany,42.7096,-73.821,,Express Inn & Suites
Hilton Albany,40 Lodge Street,Albany,42.6508,-73.7538,,Hilton Albany
Holiday Inn Express Albany Downtown,300 Broadway,Albany,42.6456,-73.7499,,Holiday Inn Express Albany Downtown
Residence Inn Albany Washington Avenue,124 Washington Avenue Extension,Albany,42.6931,-73.8494,,Residence Inn Albany Washington Avenue
Courtyard by Marriott Albany Airport,168 Wolf Rd,Albany,42.7223,-73.8033,,Courtyard by Marriott Albany Airport
"Cocca's Inn & Suites Wolf Rd, Albany Airport",2 Wolf Road,Albany,42.709,-73.8221,,"Cocca's Inn & Suites Wolf Rd, Albany Airport"
Days Inn and Suites Albany,1606 Central Avenue,Albany,42.7184,-73.8338,,Days Inn and Suites Albany
Howard Johnson Inn - Albany,1614 Central Ave,Albany,42.7191,-73.8346,,Howard Johnson Inn - Albany
