Name,Location,city,latitude,longitude
Hilton Garden Inn Albany/SUNY Area,1389 Washington Ave,Albany,42.6875,-73.8164
Courtyard by Marriott Albany Thruway,1455 Washington Avenue,Albany,42.6897,-73.8202
Radisson Hotel Albany,205 Wolf Rd,Albany,42.7241,-73.7982
Hilton Garden Inn Albany Medical Center,62 New Scotland Ave,Albany,42.6516,-73.7764
CrestHill Suites SUNY University Albany,1415 Washington Avenue,Albany,42.6887,-73.8185
The Desmond Hotel Albany,660 Albany Shaker Rd,Albany,42.7287,-73.7981
Ramada Plaza Albany,3 Watervliet Avenue Ext,Albany,42.6803,-73.7844
Hampton Inn & Suites Albany-Downtown,25 Chapel St,Albany,42.6533,-73.7514
Albany Marriott,189 Wolf Rd,Albany,42.7211,-73.8004
Best Western Sovereign Hotel - Albany,1228 Western Ave,Albany,42.6781,-73.8282
Express Inn & Suites,16 Wolf Rd,Albany,42.7096,-73.8210
Hilton Albany,40 Lodge Street,Albany,42.6508,-73.7538
Holiday Inn Express Albany Downtown,300 Broadway,Albany,42.6456,-73.7499
Residence Inn Albany Washington Avenue,124 Washington Avenue Extension,Albany,42.6931,-73.8494
Courtyard by Marriott Albany Airport,168 Wolf Rd,Albany,42.7223,-73.8033
"Cocca's Inn & Suites Wolf Rd, Albany Airport",2 Wolf Road,Albany,42.7090,-73.8221
Days Inn and Suites Albany,1606 Central Avenue,Albany,42.7184,-73.8338
Howard Johnson Inn - Albany,1614 Central Ave,Albany,42.7191,-73.8346
Hampton Inn Albany-Western Ave/University Area,1442 Western Ave,Albany,42.6803,-73.8353
TownePlace Suites by Marriott Albany University Area,1379 Washington Ave,Albany,42.6867,-73.8151
Travelodge Inn And Suites Albany,42 Wolf Road,Albany,42.7119,-73.8171
Red Roof Inn Albany Airport,188 Wolf Rd,Albany,42.7240,-73.8010
Best Western Albany Airport Inn,200 Wolf Rd,Albany,42.7218,-73.8024
Hampton Inn Albany-Wolf Road (Airport),10 Ulenski Dr,Albany,42.7244,-73.7966
Days Inn Albany SUNY,1230 Western Avenue,Albany,42.6782,-73.8284
Homewood Suites by Hilton Albany,216 Wolf Rd,Albany,42.7252,-73.7982
