Name,Location,Latitude,Longitude
100% Playground,"Glenwood Road, East 100 & East 101 streets",40.7875,-73.9448
174th Street Playground,"East 174 Street, Stratford Avenue, Bronx River Avenue",40.8339,-73.8766
227 Street Playground,Bronx Boulevard between East 226 and East 228 streets,40.8886,-73.8550
Abigail Playground,"East 156 Street, Tinton Avenue",40.8179,-73.9050
Agnes Haywood Playground,"East 215 Street, Barnes Avenue, East 216 Street",40.8806,-73.8611
Albemarle Park,Albermarle Road & Dahill Road,40.6450,-73.9809
Alexander Hamilton Playground,"Hamilton Place, West 140 to West 141 streets",40.8206,-73.9445
Alice Kornegay Triangle,"Lexington Avenue, East 128 & East 129 streets",38.8915,-94.5202
Allerton Playground,"Anrow Avenue, Bouck Avenue, Throop Avenue, Streetedman Place, Allerton Avenue",40.8631,-73.8616
Alley Pond Park,"Entrance off Grand Central Parkway, includes athletic fields and picnic areas",40.7186,-73.7957
Alley Pond Park (Alley Athletic Field),"Grand Central Parkway, Winchester Boulevard, &Union Turnpike",40.7389,-73.7338
Alley Pond Park (Alley Pond Spring),"Springfield Boulevard, 73rd Avenue, 76th Avenue to tree line & natural area",40.7495,-73.7113
Alley Pond Park (Horatio Playground),Horatio Parkway and 50 Avenue,40.7581,-73.7527
Alstyne Playground,Alystine Avenue & 102 Street,33.4215,-96.5772
Ampere Playground (PS 64),101 Avenue & 82 Street,53.5412,-113.4540
Annunciation Park,"Convent and Amsterdam Av, W 135 St",40.8134,-73.9562
Arcilla Playground,"Teller Avenue, Park Avenue, Clay Avenue, East 64 Street",40.8299,-73.9131
Arrochar Playground,"Sand Lane, Major Avenue, McFarland Avenue",40.5978,-74.0718
Arrow Community Garden,"35th Street, between 35th and 36th Avenue",33.7382,-112.1360
Audubon Playground,West 170 Street & Audubon Avenue,40.8417,-73.9375
Bailey Playground,"Bailey Avenue, Weast 233-West 238 streets",40.8867,-73.9035
Baisley Pond Park,"Rockaway Boulevard, 125th Avenue, & Baisley Boulevard South",40.8110,-73.9531
Baisley Pond Park,"150th Street, Rockaway Boulevard, Baisley Boulevard South, & North Conduit Avenue",40.6724,-73.7858
Baisley Pond Park (157th Street Playground),157 Street & 116 Avenue,41.6042,-87.9012
Bartlett Playground,Bartlett Street & Throop Avenue,40.7017,-73.9457
Bay Terrace Playground (PS 169),23 Avenue & 212 Street,53.4540,-113.5171
Bayside Playground (JHS 180),Beach Channel Drive & Seaside Avenue,40.5855,-73.8247
Bayview Playground,Seaview Avenue & East 99 Street,40.6348,-73.8880
Bedford Playground,"Bedford Avenue & South 9 Street, Division Avenue",40.6538,-73.9562
Behagen Playground,"Tinton Avenue, East 165 Street, Union Avenue, East 166 Street",40.8260,-73.9005
Bellaire Playground,"89 Avenue, 207 & 208 streets",43.6696,-79.3938
Belmont Playground,"Crotona Avenue, East 181 Street",40.8489,-73.8882
Bendheim Playground,100th Street and Fifth Ave,40.7744,-73.9656
Bennett Park,"West 185 Street, Ft Washington Avenue",40.8534,-73.9374
Benson Playground,Bath Avenue between Bay 22 & Bay 23 streets,40.6026,-74.0015
Bensonhurst Park,"Gravesend Bay, 21 & Cropsey avenues, Bay Parkway",40.6077,-74.0170
Betsy Head Playground,"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",42.3684,-83.3527
Betsy Head Playground (Administration Building),"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",42.3684,-83.3527
Big Bush Park,"61 Street, north and south of Brooklyn-Queens Expressway",40.6782,-73.9442
Bildersee Playground,Flatlands Avenue between East 81 & East 82 streets,38.9741,-94.4527
Bill Brown Memorial Playground,"Bedford Avenue, Avenue X to Avenue Y, E 24 Street",40.5933,-73.9454
Bleecker Playground,Hudson & West 11 streets,40.7358,-74.0060
Blood Root Valley (Greenbelt Nature Center),"Rockland, Manor and Brielle avenues, Forest Hill Road",45.5484,-75.2916
Blood Root Valley (Park House),"Rockland, Manor and Brielle avenues, Forest Hill Road",45.5484,-75.2916
Bloomingdale Park,"Richmond Pkwy, Bloomingdale Rd., Lenevar Ave",40.5351,-74.2080
Blue Heron Park Preserve (Nature Center),Poillon Avenue,40.5303,-74.1765
Bowne Playground,Union Street and Sanford Avenue,40.7594,-73.8187
Brevoort Playground,Ralph Avenue & Chauncy Street,40.6812,-73.9224
Broadway Malls,"Broadway, Columbus Circle to West 110 Street",40.7678,-73.9815
Bronx Park (Ben Abrams Playground),Lydig Avenue & Bronx Park East,40.8543,-73.8694
Bronx Park (Brady Playground),Bronx Park East between Bronxdale Avenue and Unionport Road,40.8490,-73.8684
Bronx Park (French Charley's Playground),East 204 Street & W/S Bronx Park,40.8740,-73.8834
Bronx Park (Olinville Playground),East 219 Street & Bronx River Parkway,40.9477,-73.8345
Bronx Park (Ranaqua),"Southern Boulevard, Webster, Burke avenues, Bronx Park East, 180 Street",40.8419,-73.8735
Bronx Park (River Park Playground),"East 180th Street, Boston Road",40.8427,-73.8782
Bronx Park (Rosewood Playground),Bronx River Parkway & Rosewood Street,40.9477,-73.8345
Bronx Park (Waring Playground),Bronx Park East between Waring Avenure and Thwaites Place,40.8490,-73.8684
Bronx River Parkway (Parque de los Ninos),"Bronx River Parkway, Bronx Park, Westchester/NYC City Line.",40.8722,-73.8718
Brookville Park,"Conduit Avenue, Brookville Boulevard, 144th Avenue, 233rd Street",40.8918,-73.8523
Brower Park,"Brooklyn, St. Mark's, Kingston avenues, Park Place",26.2411,50.5805
Brownsville Playground,Linden Boulevard & Hegeman Avenue,40.6573,-73.9003
Bushwick Playground & Pool,"Flushing Avenue, Bushwick Avenue & Humboldt Street",40.7162,-73.9430
Bushwick Playground & Pool,Flushing & Bushwick Avenue between Garden & Beaver,40.7019,-73.9370
Cabbell Park/Cambria Playground,121 Avenue & 220 Street,41.4985,-100.3099
Cadman Plaza & Brooklyn War Memorial,"Tillary, Cadman Plaza West, Cadman Plaza East, Prospect streets",40.6962,-73.9911
Cadman Plaza & Brooklyn War Memorial,"Tillary, Cadman Plaza West, Cadman Plaza East, Prospect streets",40.6962,-73.9911
Campiz Playground,Hope Street & Metropolitan Avenue,40.7123,-73.8914
Canarsie Park,"Paerdegat Avenue, Seaview Avenue, East 93rd Street, Skidmore Avenue",40.6309,-73.8908
Capt. Rivera Playground,"East 156 Street, Forest Avenue",40.8185,-73.9078
Captain Mario Fajardo Park,Kissena Boulevard & Booth Memorial Avenue,40.7430,-73.8143
Carl Schurz Park,East 84 Street & East End Avenue,40.7736,-73.9457
Carmansville Playground,"Amsterdam Avenue, West 151 to West 152 streets",40.8290,-73.9448
Carver Playground,Ralph Avenue & Sumpter Street,40.6798,-73.9221
Caserta Playground,"St. Raymond Avenue, Puroy Street",40.8377,-73.8535
Castlewood Playground (PS 186),Little Neck Parkway & 72 Avenue,40.7504,-73.7203
Cavanaugh Triangle (Angelo Campanero Playground),"East Gun Hill Road, Eastchest Road, & O'Neil Place",40.8860,-73.8279
Cedar Playground,"West 179 Street, West Burnside Avenue, Major Deegan Expressway, Sedgewick Avenue",40.8549,-73.9168
Central Park (Ancient Playground),85 ST & 5TH AVE,40.7809,-73.9609
Central Park (Arsenal),5th Avenue from 60th Street to 65th Street,40.7744,-73.9656
Central Park (Conservatory Garden),"5th Avenue, 103rd Street to 106th Street",40.7924,-73.9525
Central Park (Dana Discovery Center),110th Street between Fifth Avenue and Malcolm X Boulevard,40.8096,-73.9442
Central Park (Kerbs Boathouse),74th Street near Fifth Avenue,40.7744,-73.9656
Central Park (North Meadow Recreation Center),Mid-park at 97th Street,37.4919,-86.2799
Central Park (Ramble),Central Park,40.7826,-73.9656
Central Park (Tavern on The Green),Central Park,40.7826,-73.9656
Central Park (Tennis Courts),93d Street near the West Drive,25.7502,55.9189
Central Park (The Metropolitan Museum of Art),Fifth Avenue at 82nd Street,40.7744,-73.9656
Central Park (West 61st),"West Drive, Central Park West, & 65th Street Transverse",40.7826,-73.9656
Central Park (Wollman Rink),Center Drive to East Drive (including Gapstow Bridge),40.7669,-73.9738
Central Park Delacorte Comfort Station,Mid-Park at 80th Street,37.4919,-86.2799
Century Playground,Brighton Beach Avenue & West 2 Street,40.5903,-73.9721
Challenge Playground (PS 187) 251 Street Playground,251 Street & 63 Avenue,11.5272,104.8784
Chelsea Park,West 27 Street & 9 Avenue,40.7446,-73.9890
Chelsea Recreation Center,"South of West 25 Street, 9 to 10 avenues",40.7434,-73.9896
Cherry Tree (Washington) Playground,"99 to 100 streets, 3 Avenue",40.8328,-73.9051
Chester Playground,"Chester Street, Sutter Avenue",40.6670,-73.9110
Ciccarone Park Playground,"Arthur Avenue, East 188 Street",40.8564,-73.8868
Claremont Park,Mount Eden Parkway & Morris Avenue,40.8431,-73.9095
Claremont Park Playground,E 170 Street & Teller Avenue,40.8371,-73.9096
Clark Playground,"3 Avenue, East 144 Street, East 146 Street",40.8138,-73.9221
Clement Clark Moore Park,Broadway & 83 Street,40.7865,-73.9782
Col. Charles Young Playground,West 144 Street & Lenox Avenue,40.8197,-73.9367
